knapPI_1_50_1000_1
n 50
c 995
z 8373
time 0.00
1,94,485,0
2,506,326,0
3,416,248,0
4,992,421,0
5,649,322,0
6,237,795,0
7,457,43,1
8,815,845,0
9,446,955,0
10,422,252,0
11,791,9,1
12,359,901,0
13,667,122,1
14,598,94,1
15,7,738,0
16,544,574,0
17,334,715,0
18,766,882,0
19,994,367,0
20,893,984,0
21,633,299,0
22,131,433,0
23,428,682,0
24,700,72,1
25,617,874,0
26,874,138,1
27,720,856,0
28,419,145,0
29,794,995,0
30,196,529,0
31,997,199,1
32,116,277,0
33,908,97,1
34,539,719,0
35,707,242,0
36,569,107,0
37,537,122,0
38,931,70,1
39,726,98,1
40,487,600,0
41,772,645,0
42,513,267,0
43,81,972,0
44,943,895,0
45,58,213,0
46,303,748,0
47,764,487,0
48,536,923,0
49,724,29,1
50,789,674,0
-----

knapPI_1_50_1000_2
n 50
c 997
z 5847
time 0.00
1,946,204,1
2,819,448,0
3,420,654,0
4,800,863,0
5,406,928,0
6,941,294,0
7,70,801,0
8,560,608,0
9,795,769,0
10,583,70,1
11,595,8,1
12,695,183,1
13,463,696,0
14,742,616,0
15,171,561,0
16,352,801,0
17,858,481,0
18,182,396,0
19,887,997,0
20,606,458,0
21,470,737,0
22,955,844,0
23,552,656,0
24,764,331,0
25,493,465,0
26,363,132,0
27,588,70,1
28,220,636,0
29,982,810,0
30,261,171,0
31,793,398,0
32,796,800,0
33,872,240,1
34,347,617,0
35,768,744,0
36,785,109,1
37,741,448,0
38,187,553,0
39,339,160,0
40,408,59,1
41,320,451,0
42,442,902,0
43,518,730,0
44,127,634,0
45,23,731,0
46,375,47,1
47,513,358,0
48,1,526,0
49,593,659,0
50,686,668,0
-----

